,Start,End,Start_seconds,Start_samples,End_seconds,End_samples
3,0:00:08.85,0:00:10.00,8.85,390285,10.0,441000
9,0:00:22.45,0:00:38.91,22.45,990045,38.91,1715930
14,0:00:41.20,0:00:45.60,41.2,1816920,45.6,2010960
20,0:00:59.08,0:01:03.37,59.08,2605428,63.37,2794617
24,0:01:12.22,0:01:19.48,72.22,3184902,79.48,3505068
37,0:01:49.82,0:01:57.65,109.82,4843062,117.65,5188365
43,0:02:11.82,0:02:14.91,131.82,5813262,134.91,5949531
48,0:02:28.00,0:02:41.20,148.0,6526800,161.2,7108919
52,0:02:44.62,0:03:01.71,164.62,7259742,181.71,8013411
62,0:03:17.31,0:03:21.02,197.31,8701371,201.02,8864982
67,0:03:34.28,0:03:35.95,214.28,9449748,215.95,9523395
77,0:04:04.62,0:04:30.97,244.62,10787742,270.97,11949777
85,0:04:34.40,0:04:37.88,274.4,12101039,277.88,12254508
88,0:04:43.48,0:04:45.94,283.48,12501468,285.94,12609954
90,0:04:48.00,0:04:51.65,288.0,12700800,291.65,12861764
92,0:04:53.20,0:04:54.65,293.2,12930120,294.65,12994064
96,0:05:05.79,0:05:09.05,305.79,13485339,309.05,13629105
98,0:05:13.02,0:05:19.94,313.02,13804182,319.94,14109354
102,0:05:22.00,0:05:24.80,322.0,14200200,324.8,14323680
104,0:05:24.62,0:05:26.40,324.62,14315742,326.4,14394239
107,0:05:31.02,0:05:39.25,331.02,14597982,339.25,14960925
111,0:05:40.34,0:05:42.05,340.34000000000003,15008994,342.05,15084405
113,0:05:44.57,0:05:47.08,344.57,15195537,347.08,15306228
115,0:05:49.31,0:05:51.48,349.31,15404571,351.48,15500268
117,0:05:54.00,0:05:57.94,354.0,15611400,357.94,15785154
119,0:05:58.51,0:06:00.17,358.51,15810291,360.17,15883497
128,0:06:24.20,0:06:26.22,384.2,16943220,386.22,17032302
133,0:06:36.68,0:06:45.71,396.68,17493588,405.71,17891811
140,0:06:58.91,0:07:05.02,418.90999999999997,18473931,425.02,18743382
149,0:07:26.85,0:07:31.31,446.85,19706085,451.31,19902771
153,0:07:37.20,0:07:41.37,457.2,20162520,461.37,20346417
156,0:07:50.74,0:07:52.11,470.74,20759634,472.11,20820051
160,0:07:58.45,0:08:00.57,478.45,21099645,480.57,21193137
164,0:08:06.80,0:08:10.17,486.8,21467880,490.17,21616497
172,0:08:35.54,0:08:36.91,515.54,22735314,516.91,22795731
177,0:08:47.42,0:08:49.25,527.42,23259222,529.25,23339925
180,0:08:57.20,0:08:59.20,537.2,23690520,539.2,23778720
183,0:09:03.54,0:09:08.05,543.54,23970114,548.05,24169004
188,0:09:18.11,0:09:23.88,558.11,24612651,563.88,24867108
191,0:09:25.08,0:09:30.80,565.08,24920028,570.8,25172279
194,0:09:32.80,0:09:36.55,572.8,25260479,576.55,25425854
198,0:09:50.35,0:09:54.62,590.35,26034435,594.62,26222742
200,0:09:57.37,0:10:21.88,597.37,26344017,621.88,27424908
207,0:10:21.94,0:10:26.57,621.94,27427554,626.57,27631737
213,0:10:37.08,0:10:40.35,637.08,28095228,640.35,28239435
216,0:10:44.28,0:10:47.20,644.28,28412748,647.2,28541520
219,0:10:49.71,0:10:56.11,649.71,28652211,656.11,28934451
225,0:11:01.14,0:11:05.08,661.14,29156274,665.08,29330028
230,0:11:09.88,0:11:13.08,669.88,29541708,673.08,29682828
233,0:11:14.05,0:11:15.48,674.05,29725604,675.48,29788668
236,0:11:19.68,0:11:22.85,679.68,29973887,682.85,30113685
238,0:11:25.40,0:11:45.85,685.4,30226140,705.85,31127985
245,0:11:49.30,0:11:55.15,709.3,31280129,715.15,31538115
247,0:11:58.55,0:12:06.05,718.55,31688054,726.05,32018804
249,0:12:07.25,0:12:09.15,727.25,32071725,729.15,32155515
255,0:12:29.60,0:12:42.05,749.6,33057360,762.05,33606405
259,0:12:43.80,0:12:46.50,763.8,33683580,766.5,33802650
261,0:12:47.80,0:12:53.80,767.8,33859980,773.8,34124580
264,0:12:56.05,0:12:57.80,776.05,34223805,777.8,34300980
268,0:13:05.50,0:13:07.45,785.5,34640550,787.45,34726545
