,Start,End,Start_seconds,Start_samples,End_seconds,End_samples
4,0:00:10.00,0:00:22.45,10.0,441000,22.45,990045
13,0:00:38.91,0:00:41.65,38.91,1715930,41.65,1836765
15,0:00:45.60,0:00:59.08,45.6,2010960,59.08,2605428
21,0:01:03.37,0:01:12.22,63.37,2794617,72.22,3184902
26,0:01:19.48,0:01:49.82,79.48,3505068,109.82,4843062
39,0:01:57.65,0:02:11.82,117.65,5188365,131.82,5813262
44,0:02:14.91,0:02:28.00,134.91,5949531,148.0,6526800
51,0:02:41.20,0:02:44.62,161.2,7108919,164.62,7259742
58,0:03:01.71,0:03:17.31,181.71,8013411,197.31,8701371
63,0:03:21.02,0:03:34.28,201.02,8864982,214.28,9449748
68,0:03:35.95,0:04:04.62,215.95,9523395,244.62,10787742
84,0:04:30.97,0:04:34.40,270.97,11949777,274.4,12101039
86,0:04:37.88,0:04:43.48,277.88,12254508,283.48,12501468
89,0:04:45.94,0:04:48.00,285.94,12609954,288.0,12700800
91,0:04:51.65,0:04:53.54,291.65,12861764,293.54,12945114
93,0:04:54.65,0:05:05.79,294.65,12994064,305.79,13485339
97,0:05:09.48,0:05:13.02,309.48,13648068,313.02,13804182
100,0:05:19.70,0:05:22.00,319.7,14098770,322.0,14200200
103,0:05:22.97,0:05:24.40,322.97,14242977,324.4,14306039
105,0:05:26.40,0:05:31.02,326.4,14394239,331.02,14597982
110,0:05:39.25,0:05:40.34,339.25,14960925,340.34000000000003,15008994
112,0:05:42.05,0:05:44.57,342.05,15084405,344.57,15195537
114,0:05:47.08,0:05:49.31,347.08,15306228,349.31,15404571
116,0:05:51.48,0:05:54.00,351.48,15500268,354.0,15611400
118,0:05:57.94,0:05:59.94,357.94,15785154,359.94,15873354
120,0:06:00.17,0:06:25.15,360.17,15883497,385.15,16985115
129,0:06:25.48,0:06:36.68,385.48,16999668,396.68,17493588
136,0:06:45.71,0:06:58.91,405.71,17891811,418.90999999999997,18473931
142,0:07:05.02,0:07:26.85,425.02,18743382,446.85,19706085
151,0:07:31.31,0:07:37.20,451.31,19902771,457.2,20162520
154,0:07:41.37,0:07:50.74,461.37,20346417,470.74,20759634
157,0:07:51.60,0:07:58.45,471.6,20797560,478.45,21099645
161,0:08:00.57,0:08:06.80,480.57,21193137,486.8,21467880
165,0:08:10.17,0:08:35.54,490.17,21616497,515.54,22735314
173,0:08:36.91,0:08:47.42,516.91,22795731,527.42,23259222
178,0:08:48.74,0:08:57.20,528.74,23317434,537.2,23690520
181,0:08:59.20,0:09:03.54,539.2,23778720,543.54,23970114
185,0:09:08.05,0:09:18.11,548.05,24169004,558.11,24612651
190,0:09:23.88,0:09:25.08,563.88,24867108,565.08,24920028
193,0:09:30.80,0:09:33.48,570.8,25172279,573.48,25290468
195,0:09:36.55,0:09:50.35,576.55,25425854,590.35,26034435
199,0:09:54.62,0:09:57.37,594.62,26222742,597.37,26344017
206,0:10:19.82,0:10:21.94,619.82,27334062,621.94,27427554
208,0:10:26.57,0:10:37.08,626.57,27631737,637.08,28095228
214,0:10:40.35,0:10:44.28,640.35,28239435,644.28,28412748
218,0:10:47.20,0:10:49.71,647.2,28541520,649.71,28652211
222,0:10:56.11,0:11:01.14,656.11,28934451,661.14,29156274
227,0:11:05.08,0:11:09.88,665.08,29330028,669.88,29541708
232,0:11:13.08,0:11:14.05,673.08,29682828,674.05,29725604
234,0:11:15.20,0:11:19.68,675.2,29776320,679.68,29973887
237,0:11:22.85,0:11:24.15,682.85,30113685,684.15,30171015
244,0:11:45.85,0:11:49.30,705.85,31127985,709.3,31280129
246,0:11:55.15,0:11:58.55,715.15,31538115,718.55,31688054
248,0:12:06.05,0:12:07.25,726.05,32018804,727.25,32071725
250,0:12:09.15,0:12:29.60,729.15,32155515,749.6,33057360
258,0:12:42.05,0:12:43.80,762.05,33606405,763.8,33683580
260,0:12:46.50,0:12:47.80,766.5,33802650,767.8,33859980
263,0:12:53.80,0:12:56.05,773.8,34124580,776.05,34223805
265,0:12:57.80,0:13:05.50,777.8,34300980,785.5,34640550
269,0:13:07.45,0:13:08.60,787.45,34726545,788.6,34777260
271,0:13:09.95,0:13:12.80,789.95,34836795,792.8,34962480
274,0:13:23.50,0:13:26.20,803.5,35434350,806.2,35553420
276,0:13:31.95,0:13:43.30,811.95,35806995,823.3,36307530
282,0:13:52.30,0:13:56.60,832.3,36704430,836.6,36894060
284,0:13:58.75,0:14:04.60,838.75,36988875,844.6,37246860
288,0:14:13.15,0:14:15.15,853.15,37623915,855.15,37712115
290,0:14:18.30,0:14:19.85,858.3,37851030,859.85,37919385
292,0:14:23.55,0:14:29.60,863.55,38082555,869.6,38349360
295,0:14:32.10,0:14:36.85,872.1,38459610,876.85,38669085
303,0:14:55.30,0:14:56.95,895.3,39482730,896.95,39555495
305,0:14:58.90,0:15:05.25,898.9,39641490,905.25,39921525
307,0:15:11.10,0:15:19.20,911.1,40179510,919.2,40536720
312,0:15:26.75,0:15:33.20,926.75,40869675,933.2,41154120
317,0:15:49.50,0:15:53.35,949.5,41872950,953.35,42042735
320,0:15:56.40,0:16:02.50,956.4,42177240,962.5,42446250
323,0:16:08.35,0:16:11.55,968.35,42704235,971.55,42845355
325,0:16:13.20,0:16:18.75,973.2,42918120,978.75,43162875
327,0:16:22.30,0:16:29.30,982.3,43319430,989.3,43628130
332,0:16:39.60,0:16:48.50,999.6,44082360,1008.5,44474850
336,0:16:51.90,0:16:54.45,1011.9,44624790,1014.45,44737245
344,0:17:08.15,0:17:12.45,1028.15,45341415,1032.45,45531045
347,0:17:20.30,0:17:25.65,1040.3,45877230,1045.65,46113165
350,0:17:31.50,0:17:44.20,1051.5,46371150,1064.2,46931220
355,0:17:44.75,0:17:52.70,1064.75,46955475,1072.7,47306070
359,0:17:56.80,0:17:59.20,1076.8,47486880,1079.2,47592720
362,0:18:04.85,0:18:07.40,1084.85,47841884,1087.4,47954340
364,0:18:11.40,0:18:26.10,1091.4,48130740,1106.1,48779009
371,0:18:34.85,0:18:41.75,1114.85,49164884,1121.75,49469175
376,0:18:51.15,0:18:53.00,1131.15,49883715,1133.0,49965300
379,0:18:56.45,0:19:01.45,1136.45,50117445,1141.45,50337945
382,0:19:03.45,0:19:08.80,1143.45,50426145,1148.8,50662080
387,0:19:15.65,0:19:19.90,1155.65,50964165,1159.9,51151590
390,0:19:23.60,0:19:49.90,1163.6,51314759,1189.9,52474590
398,0:19:52.70,0:19:55.00,1192.7,52598070,1195.0,52699500
400,0:19:57.80,0:20:00.25,1197.8,52822980,1200.25,52931025
402,0:20:07.45,0:20:10.25,1207.45,53248545,1210.25,53372025
404,0:20:14.35,0:20:21.40,1214.35,53552834,1221.4,53863740
408,0:20:24.10,0:20:36.20,1224.1,53982809,1236.2,54516420
413,0:20:42.40,0:20:47.70,1242.4,54789840,1247.7,55023570
416,0:20:49.90,0:20:52.90,1249.9,55120590,1252.9,55252890
420,0:21:03.20,0:21:05.30,1263.2,55707120,1265.3,55799730
422,0:21:08.05,0:21:11.00,1268.05,55921005,1271.0,56051100
425,0:21:15.25,0:21:16.85,1275.25,56238525,1276.85,56309084
428,0:21:23.40,0:21:24.35,1283.4,56597940,1284.35,56639834
432,0:21:30.60,0:21:32.20,1290.6,56915459,1292.2,56986020
434,0:21:36.90,0:21:38.00,1296.9,57193290,1298.0,57241800
436,0:21:43.00,0:21:43.80,1303.0,57462300,1303.8,57497580
438,0:21:47.20,0:21:48.55,1307.2,57647520,1308.55,57707055
441,0:21:56.75,0:22:01.35,1316.75,58068675,1321.35,58271534
444,0:22:13.15,0:22:21.35,1333.15,58791915,1341.35,59153534
448,0:22:31.70,0:22:40.45,1351.7,59609970,1360.45,59995845
451,0:22:42.55,0:22:52.10,1362.55,60088455,1372.1,60509609
456,0:22:56.95,0:23:02.60,1376.95,60723495,1382.6,60972659
461,0:23:08.95,0:23:17.90,1388.95,61252695,1397.9,61647390
464,0:23:21.50,0:23:24.75,1401.5,61806150,1404.75,61949475
466,0:23:25.25,0:23:28.55,1405.25,61971525,1408.55,62117055
468,0:23:29.30,0:23:35.15,1409.3,62150130,1415.15,62408115
472,0:23:37.55,0:23:39.75,1417.55,62513955,1419.75,62610975
474,0:23:45.10,0:23:48.95,1425.1,62846909,1428.95,63016695
476,0:23:50.90,0:23:54.25,1430.9,63102690,1434.25,63250425
478,0:23:56.50,0:24:14.90,1436.5,63349650,1454.9,64161090
485,0:24:16.45,0:24:23.65,1456.45,64229445,1463.65,64546965
489,0:24:25.40,0:24:29.10,1465.4,64624140,1469.1,64787309
502,0:24:56.95,0:24:58.75,1496.95,66015495,1498.75,66094875
505,0:25:03.45,0:25:06.60,1503.45,66302145,1506.6,66441059
507,0:25:11.85,0:25:16.70,1511.85,66672584,1516.7,66886470
509,0:25:18.45,0:25:19.85,1518.45,66963645,1519.85,67025384
511,0:25:23.30,0:25:26.20,1523.3,67177530,1526.2,67305420
521,0:25:59.05,0:26:00.85,1559.05,68754105,1560.85,68833485
525,0:26:16.00,0:26:18.90,1576.0,69501600,1578.9,69629490
527,0:26:22.50,0:26:24.20,1582.5,69788250,1584.2,69863220
529,0:26:27.50,0:26:28.60,1587.5,70008750,1588.6,70057260
531,0:26:30.20,0:26:36.30,1590.2,70127820,1596.3,70396830
533,0:26:38.25,0:26:43.90,1598.25,70482825,1603.9,70731990
536,0:26:49.50,0:26:52.00,1609.5,70978950,1612.0,71089200
538,0:26:58.35,0:27:00.90,1618.35,71369235,1620.9,71481690
542,0:27:08.90,0:27:10.55,1628.9,71834490,1630.55,71907255
545,0:27:19.00,0:27:21.65,1639.0,72279900,1641.65,72396765
547,0:27:24.60,0:27:26.50,1644.6,72526860,1646.5,72610650
549,0:27:27.45,0:27:34.10,1647.45,72652545,1654.1,72945810
552,0:27:36.10,0:27:39.55,1656.1,73034010,1659.55,73186155
563,0:28:15.85,0:28:17.10,1695.85,74786985,1697.1,74842110
565,0:28:19.55,0:28:20.95,1699.55,74950155,1700.95,75011895
567,0:28:23.55,0:28:25.30,1703.55,75126555,1705.3,75203730
569,0:28:26.60,0:28:30.60,1706.6,75261060,1710.6,75437460
571,0:28:36.60,0:28:37.90,1716.6,75702060,1717.9,75759390
574,0:28:43.45,0:28:44.85,1723.45,76004145,1724.85,76065885
577,0:28:53.05,0:28:56.35,1733.05,76427505,1736.35,76573035
580,0:29:04.00,0:29:09.30,1744.0,76910400,1749.3,77144130
582,0:29:11.65,0:29:15.15,1751.65,77247765,1755.15,77402115
586,0:29:22.70,0:29:24.55,1762.7,77735070,1764.55,77816655
588,0:29:27.95,0:29:45.70,1767.95,77966595,1785.7,78749370
597,0:30:07.20,0:30:08.95,1807.2,79697520,1808.95,79774695
599,0:30:11.60,0:30:14.65,1811.6,79891560,1814.65,80026065
605,0:30:31.70,0:30:33.05,1831.7,80777970,1833.05,80837505
607,0:30:38.35,0:30:41.55,1838.35,81071235,1841.55,81212355
610,0:30:46.70,0:30:49.40,1846.7,81439470,1849.4,81558540
612,0:30:53.95,0:30:55.15,1853.95,81759195,1855.15,81812115
615,0:31:02.90,0:31:07.35,1862.9,82153890,1867.35,82350135
617,0:31:10.20,0:31:13.05,1870.2,82475820,1873.05,82601505
619,0:31:20.70,0:31:22.10,1880.7,82938870,1882.1,83000610
621,0:31:25.55,0:31:26.60,1885.55,83152755,1886.6,83199060
623,0:31:30.75,0:31:34.25,1890.75,83382075,1894.25,83536425
626,0:31:41.80,0:31:44.00,1901.8,83869380,1904.0,83966400
628,0:31:47.15,0:31:53.75,1907.15,84105315,1913.75,84396375
632,0:31:58.15,0:32:02.75,1918.15,84590415,1922.75,84793275
634,0:32:04.75,0:32:06.75,1924.75,84881475,1926.75,84969675
636,0:32:07.85,0:32:33.80,1927.85,85018185,1953.8,86162580
646,0:32:37.20,0:32:39.80,1957.2,86312520,1959.8,86427180
648,0:32:48.50,0:32:51.65,1968.5,86810850,1971.65,86949765
650,0:32:54.10,0:32:56.80,1974.1,87057810,1976.8,87176880
652,0:33:00.20,0:33:08.10,1980.2,87326820,1988.1,87675210
656,0:33:12.65,0:33:17.95,1992.65,87875865,1997.95,88109595
659,0:33:19.85,0:33:35.25,1999.85,88193385,2015.25,88872525
665,0:33:38.25,0:33:42.15,2018.25,89004825,2022.15,89176815
668,0:33:44.85,0:33:49.50,2024.85,89295885,2029.5,89500950
670,0:34:00.45,0:34:02.35,2040.45,89983845,2042.35,90067635
674,0:34:17.00,0:34:20.00,2057.0,90713700,2060.0,90846000
676,0:34:23.20,0:34:28.00,2063.2,90987119,2068.0,91198800
678,0:34:32.75,0:34:37.10,2072.75,91408275,2077.1,91600110
681,0:34:44.95,0:35:08.45,2084.95,91946294,2108.45,92982644
689,0:35:17.55,0:35:19.25,2117.55,93383955,2119.25,93458925
693,0:35:29.90,0:35:31.30,2129.9,93928590,2131.3,93990330
695,0:35:34.20,0:35:44.50,2134.2,94118219,2144.5,94572450
700,0:36:00.50,0:36:03.05,2160.5,95278050,2163.05,95390505
702,0:36:04.10,0:36:13.15,2164.1,95436810,2173.15,95835915
705,0:36:17.15,0:36:21.60,2177.15,96012315,2181.6,96208560
709,0:36:33.75,0:36:36.95,2193.75,96744375,2196.95,96885494
712,0:36:48.05,0:36:49.80,2208.05,97375005,2209.8,97452180
715,0:36:56.05,0:36:58.85,2216.05,97727805,2218.85,97851285
717,0:37:00.75,0:37:03.35,2220.75,97935075,2223.35,98049735
720,0:37:08.70,0:37:13.45,2228.7,98285669,2233.45,98495144
724,0:37:22.25,0:37:24.25,2242.25,98883225,2244.25,98971425
730,0:37:46.45,0:37:48.05,2266.45,99950444,2268.05,100021005
732,0:37:51.40,0:37:52.40,2271.4,100168740,2272.4,100212840
734,0:37:53.00,0:37:54.60,2273.0,100239300,2274.6,100309860
736,0:37:57.15,0:38:33.30,2277.15,100422315,2313.3,102016530
748,0:38:36.25,0:38:38.95,2316.25,102146625,2318.95,102265694
750,0:38:41.50,0:38:43.85,2321.5,102378150,2323.85,102481785
759,0:39:23.55,0:39:25.30,2363.55,104232555,2365.3,104309730
764,0:39:45.10,0:39:46.90,2385.1,105182910,2386.9,105262290
766,0:39:49.90,0:39:52.15,2389.9,105394590,2392.15,105493815
768,0:39:53.95,0:39:57.85,2393.95,105573194,2397.85,105745185
771,0:40:04.15,0:40:09.70,2404.15,106023015,2409.7,106267769
777,0:40:28.05,0:40:30.35,2428.05,107077005,2430.35,107178435
