,,Start,End,Start_seconds,Start_samples,End_seconds,End_samples
Ichinose,6,0:04:43.95,0:04:45.10,283.95,12522195,285.1,12572910
Ichinose,12,0:04:57.55,0:05:14.01,297.55,13121955,314.01,13847841
Ichinose,17,0:05:16.30,0:05:20.70,316.3,13948830,320.7,14142870
Ichinose,23,0:05:34.18,0:05:38.47,334.18,14737338,338.47,14926527
Ichinose,28,0:05:47.32,0:05:54.58,347.32,15316812,354.58,15636978
Ichinose,41,0:06:24.92,0:06:32.75,384.92,16974972,392.75,17320275
Ichinose,47,0:06:46.92,0:06:50.01,406.92,17945172,410.01,18081441
Ichinose,52,0:07:03.10,0:07:16.30,423.1,18658710,436.3,19240830
Ichinose,56,0:07:19.72,0:07:28.41,439.72,19391652,448.41,19774881
Ichinose,59,0:07:30.41,0:07:36.81,450.41,19863081,456.81,20145321
Ichinose,66,0:07:52.41,0:07:56.12,472.40999999999997,20833281,476.12,20996892
Ichinose,71,0:08:09.38,0:08:11.05,489.38,21581658,491.05,21655305
Ichinose,81,0:08:39.72,0:08:51.21,519.72,22919652,531.21,23426361
Ichinose,84,0:08:53.21,0:09:06.07,533.21,23514561,546.07,24081687
Ichinose,89,0:09:09.50,0:09:12.98,549.5,24232950,552.98,24386418
Ichinose,92,0:09:18.58,0:09:21.04,558.58,24633378,561.04,24741864
Ichinose,94,0:09:23.10,0:09:26.75,563.1,24832710,566.75,24993675
Ichinose,96,0:09:28.30,0:09:29.75,568.3,25062029,569.75,25125975
Ichinose,100,0:09:40.89,0:09:44.15,580.89,25617249,584.15,25761015
Ichinose,102,0:09:48.12,0:09:55.04,588.12,25936092,595.04,26241264
Ichinose,106,0:09:57.10,0:09:59.90,597.1,26332110,599.9,26455590
Ichinose,108,0:09:59.72,0:10:01.50,599.72,26447652,601.5,26526150
Ichinose,111,0:10:06.12,0:10:14.35,606.12,26729892,614.35,27092835
Ichinose,115,0:10:15.44,0:10:17.15,615.44,27140904,617.15,27216315
Ichinose,117,0:10:19.67,0:10:22.18,619.67,27327447,622.18,27438137
Ichinose,119,0:10:24.41,0:10:26.58,624.41,27536481,626.58,27632178
Ichinose,121,0:10:29.10,0:10:33.04,629.1,27743310,633.04,27917064
Ichinose,123,0:10:33.61,0:10:35.27,633.61,27942201,635.27,28015407
Ichinose,132,0:10:59.30,0:11:01.32,659.3,29075129,661.32,29164212
Ichinose,137,0:11:11.78,0:11:20.81,671.78,29625498,680.81,30023720
Ichinose,144,0:11:34.01,0:11:40.12,694.01,30605841,700.12,30875292
Ichinose,153,0:12:01.95,0:12:06.41,721.95,31837995,726.41,32034681
Ichinose,157,0:12:12.30,0:12:16.47,732.3,32294429,736.47,32478327
Ichinose,160,0:12:25.84,0:12:27.21,745.84,32891544,747.21,32951961
Ichinose,164,0:12:33.55,0:12:35.67,753.55,33231554,755.67,33325047
Ichinose,168,0:12:41.90,0:12:45.27,761.9,33599790,765.27,33748407
Ichinose,177,0:13:10.64,0:13:12.01,790.64,34867224,792.01,34927641
Ichinose,183,0:13:22.52,0:13:24.35,802.52,35391132,804.35,35471835
Ichinose,187,0:13:32.30,0:13:34.30,812.3,35822430,814.3,35910630
Ichinose,190,0:13:38.64,0:13:43.15,818.64,36102024,823.15,36300915
Ichinose,195,0:13:53.21,0:13:58.98,833.21,36744561,838.98,36999018
Ichinose,198,0:14:00.18,0:14:05.90,840.18,37051938,845.9,37304190
Ichinose,202,0:14:07.90,0:14:11.65,847.9,37392390,851.65,37557765
Ichinose,207,0:14:25.45,0:14:29.72,865.45,38166345,869.72,38354652
Ichinose,209,0:14:32.47,0:14:40.92,872.47,38475927,880.92,38848572
Ichinose,212,0:14:42.81,0:14:56.98,882.81,38931921,896.98,39556818
Ichinose,216,0:14:57.04,0:15:01.67,897.04,39559464,901.67,39763647
Ichinose,222,0:15:12.18,0:15:15.45,912.18,40227138,915.45,40371345
Ichinose,225,0:15:19.38,0:15:21.32,919.38,40544658,921.32,40630212
Ichinose,226,0:15:21.40,0:15:22.30,921.4,40633740,922.3,40673430
Ichinose,228,0:15:24.81,0:15:31.21,924.81,40784121,931.21,41066361
Ichinose,234,0:15:36.24,0:15:40.18,936.24,41288184,940.18,41461938
Ichinose,239,0:15:44.98,0:15:48.18,944.98,41673618,948.18,41814738
Ichinose,242,0:15:49.15,0:15:50.58,949.15,41857515,950.58,41920578
Ichinose,245,0:15:54.78,0:15:57.95,954.78,42105798,957.95,42245595
Ichinose,247,0:16:00.50,0:16:15.95,960.5,42358050,975.95,43039395
Ichinose,252,0:16:15.85,0:16:20.95,975.85,43034985,980.95,43259895
Ichinose,254,0:16:24.40,0:16:30.25,984.4,43412040,990.25,43670025
Ichinose,256,0:16:33.65,0:16:41.15,993.65,43819965,1001.15,44150715
Ichinose,258,0:16:42.35,0:16:44.25,1002.35,44203635,1004.25,44287425
Ichinose,264,0:17:04.70,0:17:17.15,1024.7,45189270,1037.15,45738315
Ichinose,268,0:17:18.90,0:17:21.60,1038.9,45815490,1041.6,45934559
Ichinose,271,0:17:22.90,0:17:24.40,1042.9,45991890,1044.4,46058040
Ichinose,272,0:17:25.90,0:17:28.90,1045.9,46124190,1048.9,46256490
Ichinose,274,0:17:31.15,0:17:32.90,1051.15,46355715,1052.9,46432890
Ichinose,278,0:17:40.60,0:17:42.55,1060.6,46772459,1062.55,46858455
Ichinose,280,0:17:43.70,0:17:45.45,1063.7,46909170,1065.45,46986345
Ichinose,282,0:17:47.90,0:17:54.05,1067.9,47094390,1074.05,47365605
Ichinose,283,0:17:54.65,0:17:58.60,1074.65,47392065,1078.6,47566259
Ichinose,285,0:18:01.30,0:18:07.05,1081.3,47685330,1087.05,47938905
Ichinose,290,0:18:18.40,0:18:27.40,1098.4,48439440,1107.4,48836340
Ichinose,293,0:18:31.70,0:18:33.85,1111.7,49025970,1113.85,49120784
Ichinose,296,0:18:39.70,0:18:48.25,1119.7,49378770,1128.25,49755825
