Speaker,,Start,End,Start_seconds,Start_samples,End_seconds,End_samples
Ichinose,3,0:00:08.85,0:00:10.00,8.85,390285,10.0,441000
Ichinose,9,0:00:22.45,0:00:29.11,22.45,990045,29.11,1283751
Ichinose,10,0:00:29.11,0:00:33.82,29.11,1283751,33.82,1491462
Ichinose,11,0:00:33.82,0:00:36.39,33.82,1491462,36.39,1604799
Ichinose,12,0:00:36.39,0:00:38.91,36.39,1604799,38.91,1715930
Ichinose,14,0:00:41.20,0:00:45.60,41.2,1816920,45.6,2010960
Ichinose,20,0:00:59.08,0:01:03.37,59.08,2605428,63.37,2794617
Ichinose,24,0:01:12.22,0:01:16.13,72.22,3184902,76.13,3357333
Ichinose,25,0:01:16.13,0:01:19.48,76.13,3357333,79.48,3505068
Ichinose,37,0:01:49.82,0:01:54.21,109.82,4843062,114.21000000000001,5036661
Ichinose,38,0:01:54.21,0:01:57.65,114.21000000000001,5036661,117.65,5188365
Ichinose,43,0:02:11.82,0:02:14.91,131.82,5813262,134.91,5949531
Ichinose,48,0:02:28.00,0:02:33.24,148.0,6526800,153.24,6757884
Ichinose,49,0:02:33.24,0:02:38.13,153.24,6757884,158.13,6973533
Ichinose,50,0:02:38.13,0:02:41.20,158.13,6973533,161.2,7108919
Ichinose,52,0:02:44.62,0:02:48.69,164.62,7259742,168.69,7439229
Ichinose,53,0:02:48.69,0:02:51.44,168.69,7439229,171.44,7560504
Ichinose,54,0:02:51.44,0:02:53.31,171.44,7560504,173.31,7642971
Ichinose,55,0:02:55.31,0:02:57.42,175.31,7731171,177.42000000000002,7824222
Ichinose,56,0:02:57.42,0:02:59.68,177.42000000000002,7824222,179.68,7923888
Ichinose,57,0:02:59.68,0:03:01.71,179.68,7923888,181.71,8013411
Ichinose,62,0:03:17.31,0:03:21.02,197.31,8701371,201.02,8864982
Ichinose,67,0:03:34.28,0:03:35.95,214.28,9449748,215.95,9523395
Ichinose,77,0:04:04.62,0:04:08.67,244.62,10787742,248.67,10966347
Ichinose,78,0:04:08.67,0:04:12.28,248.67,10966347,252.28,11125548
Ichinose,79,0:04:12.28,0:04:16.11,252.28,11125548,256.11,11294451
Ichinose,80,0:04:18.11,0:04:21.66,258.11,11382651,261.66,11539206
Ichinose,81,0:04:21.66,0:04:24.78,261.66,11539206,264.78,11676797
Ichinose,82,0:04:24.78,0:04:28.34,264.78,11676797,268.34,11833793
Ichinose,83,0:04:28.34,0:04:30.97,268.34,11833793,270.97,11949777
Ichinose,85,0:04:34.40,0:04:37.88,274.4,12101039,277.88,12254508
Ichinose,88,0:04:43.48,0:04:45.94,283.48,12501468,285.94,12609954
Ichinose,90,0:04:48.00,0:04:51.65,288.0,12700800,291.65,12861764
Ichinose,92,0:04:53.20,0:04:54.65,293.2,12930120,294.65,12994064
Ichinose,96,0:05:05.79,0:05:09.05,305.79,13485339,309.05,13629105
Ichinose,98,0:05:13.02,0:05:15.83,313.02,13804182,315.83,13928103
Ichinose,99,0:05:15.83,0:05:19.94,315.83,13928103,319.94,14109354
Ichinose,102,0:05:22.00,0:05:24.80,322.0,14200200,324.8,14323680
Ichinose,104,0:05:24.62,0:05:26.40,324.62,14315742,326.4,14394239
Ichinose,107,0:05:31.02,0:05:33.50,331.02,14597982,333.5,14707350
Ichinose,108,0:05:33.50,0:05:36.53,333.5,14707350,336.53,14840972
Ichinose,109,0:05:36.53,0:05:39.25,336.53,14840972,339.25,14960925
Ichinose,111,0:05:40.34,0:05:42.05,340.34000000000003,15008994,342.05,15084405
Ichinose,113,0:05:44.57,0:05:47.08,344.57,15195537,347.08,15306228
Ichinose,115,0:05:49.31,0:05:51.48,349.31,15404571,351.48,15500268
Ichinose,117,0:05:54.00,0:05:57.94,354.0,15611400,357.94,15785154
Ichinose,119,0:05:58.51,0:06:00.17,358.51,15810291,360.17,15883497
Ichinose,128,0:06:24.20,0:06:26.22,384.2,16943220,386.22,17032302
Ichinose,133,0:06:36.68,0:06:40.23,396.68,17493588,400.23,17650143
Ichinose,134,0:06:40.23,0:06:43.37,400.23,17650143,403.37,17788617
Ichinose,135,0:06:43.37,0:06:45.71,403.37,17788617,405.71,17891811
Ichinose,140,0:06:58.91,0:07:01.59,418.90999999999997,18473931,421.59,18592119
Ichinose,141,0:07:01.59,0:07:05.02,421.59,18592119,425.02,18743382
Ichinose,149,0:07:26.85,0:07:29.32,446.85,19706085,449.32,19815012
Ichinose,150,0:07:29.32,0:07:31.31,449.32,19815012,451.31,19902771
Ichinose,153,0:07:37.20,0:07:41.37,457.2,20162520,461.37,20346417
Ichinose,156,0:07:50.74,0:07:52.11,470.74,20759634,472.11,20820051
Ichinose,160,0:07:58.45,0:08:00.57,478.45,21099645,480.57,21193137
Ichinose,164,0:08:06.80,0:08:10.17,486.8,21467880,490.17,21616497
Ichinose,172,0:08:35.54,0:08:36.91,515.54,22735314,516.91,22795731
Ichinose,177,0:08:47.42,0:08:49.25,527.42,23259222,529.25,23339925
Ichinose,180,0:08:57.20,0:08:59.20,537.2,23690520,539.2,23778720
Ichinose,183,0:09:03.54,0:09:06.15,543.54,23970114,546.15,24085215
Ichinose,184,0:09:06.15,0:09:08.05,546.15,24085215,548.05,24169004
Ichinose,188,0:09:18.11,0:09:20.73,558.11,24612651,560.73,24728193
Ichinose,189,0:09:20.73,0:09:23.88,560.73,24728193,563.88,24867108
Ichinose,191,0:09:25.08,0:09:29.15,565.08,24920028,569.15,25099515
Ichinose,192,0:09:29.15,0:09:30.80,569.15,25099515,570.8,25172279
Ichinose,194,0:09:32.80,0:09:36.55,572.8,25260479,576.55,25425854
Ichinose,198,0:09:50.35,0:09:54.62,590.35,26034435,594.62,26222742
Ichinose,200,0:09:57.37,0:10:00.50,597.37,26344017,600.5,26482050
Ichinose,201,0:10:00.50,0:10:02.90,600.5,26482050,602.9,26587890
Ichinose,202,0:10:02.90,0:10:05.82,602.9,26587890,605.82,26716662
Ichinose,203,0:10:07.71,0:10:14.48,607.71,26800011,614.48,27098568
Ichinose,204,0:10:14.48,0:10:19.25,614.48,27098568,619.25,27308925
Ichinose,205,0:10:19.25,0:10:21.88,619.25,27308925,621.88,27424908
Ichinose,207,0:10:21.94,0:10:26.57,621.94,27427554,626.57,27631737
Ichinose,213,0:10:37.08,0:10:40.35,637.08,28095228,640.35,28239435
Ichinose,216,0:10:44.28,0:10:46.22,644.28,28412748,646.22,28498302
Ichinose,217,0:10:46.30,0:10:47.20,646.3,28501829,647.2,28541520
Ichinose,219,0:10:49.71,0:10:51.91,649.71,28652211,651.91,28749231
Ichinose,220,0:10:51.91,0:10:53.98,651.91,28749231,653.98,28840518
Ichinose,221,0:10:53.98,0:10:56.11,653.98,28840518,656.11,28934451
Ichinose,225,0:11:01.14,0:11:03.19,661.14,29156274,663.19,29246679
Ichinose,226,0:11:03.19,0:11:05.08,663.19,29246679,665.08,29330028
