,Start,End,Style,StyleInd,hasIcon
0,0.0,11.67,Translator,-1,False
1,0.7,3.81,Yakumo,-1,False
2,3.81,6.75,Yakumo,-1,False
3,6.75,13.13,Yakumo,-1,False
4,13.33,16.08,Yakumo,-1,False
5,16.08,20.73,Yakumo,-1,False
6,20.73,25.06,Yakumo,-1,False
7,25.06,27.26,Yakumo,-1,False
8,27.26,30.56,Yakumo,-1,False
9,35.2,38.04,Question,-1,False
10,35.2,38.04,Yakumo,-1,False
11,35.9,37.1,Ramune,0,True
12,36.8,38.8,Hanabusa,1,True
13,38.04,40.6,Yakumo,-1,False
14,39.73,45.26,Ichinose,2,True
15,44.9,46.53,Yakumo,-1,False
16,46.36,51.1,Ichinose,2,True
17,50.26,53.1,Yakumo,-1,False
18,58.86,60.03,Ichinose,2,True
19,61.8,65.23,Question,-1,False
20,61.8,63.23,Yakumo,-1,False
21,65.03,67.36,Sumire,3,True
22,67.36,70.0,Yakumo,-1,False
23,70.0,71.3,Ichinose,2,True
24,71.3,73.2,Ema,4,True
25,73.2,74.76,Hinano,5,True
26,74.03,75.53,Ema,4,True
27,75.53,77.6,Hinano,5,True
28,76.6,78.13,Ichinose,2,True
29,78.13,79.86,Hanabusa,1,True
30,79.86,82.36,Mimitaya,7,True
31,82.36,84.56,Ema,4,True
32,83.66,86.16,Hanabusa,1,True
33,86.16,88.4,Hinano,5,True
34,88.4,89.73,Ramune,0,True
35,89.06,91.23,Ichinose,2,True
36,91.23,93.23,Yakumo,-1,False
37,93.23,95.0,Yakumo,-1,False
38,95.0,96.63,Hanabusa,1,True
39,96.63,97.4,Ichinose,2,True
40,97.4,98.63,Hinano,5,True
41,98.63,99.6,Ramune,0,True
42,103.76,107.8,Sumire,3,True
43,106.73,108.36,Ema,4,True
44,114.43,118.26,Hinano,5,True
45,119.03,122.36,Hinano,5,True
46,124.0,125.86,Hinano,5,True
47,125.33,127.43,Hanabusa,1,True
48,127.43,129.13,Ichinose,2,True
49,129.13,131.7,Yakumo,-1,False
50,131.26,133.43,Ichinose,2,True
51,133.43,137.16,Sumire,3,True
52,135.36,137.26,Hinano,5,True
53,137.26,139.26,Yakumo,-1,False
54,138.86,140.13,Sumire,3,True
